evaluation_dataset,model,scenario,threshold,sample_size,total_churners,customers_contacted,contact_rate,true_churners_contacted,false_interventions,missed_churners,true_nonchurners_not_contacted,campaign_precision,churn_capture_rate,expected_retained_customers,expected_retained_value,contact_cost,false_positive_cost,fixed_campaign_cost,total_campaign_cost,net_profit,roi,profit_per_contacted_customer,profit_per_1000_customers
test_exploratory,Random Forest,conservative,0.43,94669,8514,15658,0.16539733175590743,7611,8047,903,78108,0.48607740452165027,0.8939393939393939,761.1,45666.0,125264.0,8047.0,0.0,133311.0,-87645.0,-0.6574476224767648,-5.597458168348448,-925.8046456601422
test_exploratory,Random Forest,conservative,0.44,94669,8514,15005,0.15849961444612282,7565,7440,949,78715,0.5041652782405864,0.8885365280714118,756.5,45390.0,120040.0,7440.0,0.0,127480.0,-82090.0,-0.643944148101663,-5.470843052315895,-867.1265144873189
test_exploratory,Random Forest,conservative,0.45,94669,8514,14232,0.15033432274556613,7505,6727,1009,79428,0.5273327712197864,0.8814893117218698,750.5,45030.0,113856.0,6727.0,0.0,120583.0,-75553.0,-0.62656427522951,-5.308670601461495,-798.0753995500111
test_exploratory,Random Forest,conservative,0.46,94669,8514,13411,0.14166200128870063,7441,5970,1073,80185,0.5548430392961002,0.8739722809490251,744.1,44646.0,107288.0,5970.0,0.0,113258.0,-68612.0,-0.6058026806053436,-5.116098724927299,-724.7567841637707
test_exploratory,Random Forest,conservative,0.47,94669,8514,12605,0.13314812663068165,7375,5230,1139,80925,0.585085283617612,0.866220342964529,737.5,44250.0,100840.0,5230.0,0.0,106070.0,-61820.0,-0.5828226642783068,-4.904403014676715,-653.012073646072
test_exploratory,Random Forest,conservative,0.48,94669,8514,11921,0.1259229526032809,7305,4616,1209,81539,0.612784162402483,0.8579985905567301,730.5,43830.0,95368.0,4616.0,0.0,99984.0,-56154.0,-0.5616298607777245,-4.710510863182619,-593.1614361617848
test_exploratory,Random Forest,conservative,0.49,94669,8514,11343,0.11981746928772882,7249,4094,1265,82061,0.6390725557612624,0.851421188630491,724.9000000000001,43494.00000000001,90744.0,4094.0,0.0,94838.0,-51343.99999999999,-0.5413863641156498,-4.526492109671162,-542.3528293316713
test_exploratory,Random Forest,conservative,0.5,94669,8514,10972,0.11589855179625855,7206,3766,1308,82389,0.6567626686110098,0.8463706835799859,720.6,43236.0,87776.0,3766.0,0.0,91542.0,-48306.0,-0.5276922068558695,-4.402661319722931,-510.26207100529206
test_exploratory,Random Forest,conservative,0.51,94669,8514,10633,0.11231765414232747,7168,3465,1346,82690,0.67412771560237,0.8419074465586094,716.8000000000001,43008.00000000001,85064.0,3465.0,0.0,88529.0,-45520.99999999999,-0.5141930892701826,-4.281105990783409,-480.8437820194572
test_exploratory,Random Forest,conservative,0.52,94669,8514,10379,0.10963462168185996,7131,3248,1383,82907,0.6870604104441661,0.8375616631430585,713.1,42786.0,83032.0,3248.0,0.0,86280.0,-43494.0,-0.5041029207232267,-4.190577126890838,-459.43233793533255
test_exploratory,Random Forest,conservative,0.53,94669,8514,10195,0.10769100761600947,7107,3088,1407,83067,0.697106424717999,0.8347427766032417,710.7,42642.0,81560.0,3088.0,0.0,84648.0,-42006.0,-0.49624326623192516,-4.120255026974007,-443.71441548975906
test_exploratory,Random Forest,conservative,0.54,94669,8514,10032,0.10596921906854409,7079,2953,1435,83202,0.7056419457735247,0.8314540756401222,707.9000000000001,42474.00000000001,80256.0,2953.0,0.0,83209.0,-40734.99999999999,-0.48955040921054205,-4.060506379585326,-430.28869006749824
test_exploratory,Random Forest,conservative,0.55,94669,8514,9853,0.1040784206023091,7053,2800,1461,83355,0.7158225921039277,0.828400281888654,705.3000000000001,42318.00000000001,78824.0,2800.0,0.0,81624.0,-39305.99999999999,-0.4815495442516906,-3.989241855272505,-415.1939916973877
test_exploratory,Random Forest,conservative,0.56,94669,8514,9714,0.10261014693299814,7028,2686,1486,83469,0.723491867407865,0.8254639417430115,702.8000000000001,42168.00000000001,77712.0,2686.0,0.0,80398.0,-38229.99999999999,-0.4755093410283837,-3.9355569281449445,-403.82807466013156
test_exploratory,Random Forest,conservative,0.57,94669,8514,9585,0.10124750446291816,7003,2582,1511,83573,0.7306207616066771,0.822527601597369,700.3000000000001,42018.00000000001,76680.0,2582.0,0.0,79262.0,-37243.99999999999,-0.469884686230476,-3.8856546687532596,-393.41283841595447
test_exploratory,Random Forest,conservative,0.58,94669,8514,9433,0.09964191023460689,6973,2460,1541,83695,0.7392133997667762,0.8190039934225981,697.3000000000001,41838.00000000001,75464.0,2460.0,0.0,77924.0,-36085.99999999999,-0.4630922437246547,-3.8255062016325656,-381.1807455450041
test_exploratory,Random Forest,conservative,0.59,94669,8514,9288,0.09811025784575732,6941,2347,1573,83808,0.7473083548664944,0.8152454780361758,694.1,41646.0,74304.0,2347.0,0.0,76651.0,-35005.0,-0.4566802781437946,-3.768841515934539,-369.76201290813253
test_exploratory,Random Forest,conservative,0.6,94669,8514,9118,0.09631452745883023,6900,2218,1614,83937,0.7567449001974117,0.8104298801973221,690.0,41400.0,72944.0,2218.0,0.0,75162.0,-33762.0,-0.44918975013969825,-3.702785698618118,-356.6320548437186
test_exploratory,Random Forest,conservative,0.61,94669,8514,8911,0.09412796163474844,6842,2069,1672,84086,0.7678150600381551,0.8036175710594315,684.2,41052.0,71288.0,2069.0,0.0,73357.0,-32305.0,-0.44038060444129395,-3.6252945797329144,-341.24158911576126
test_exploratory,Random Forest,conservative,0.62,94669,8514,8691,0.09180407525166633,6778,1913,1736,84242,0.7798872396732252,0.7961005402865868,677.8000000000001,40668.00000000001,69528.0,1913.0,0.0,71441.0,-30772.999999999993,-0.4307470500132976,-3.5407893222874227,-325.0588893935712
test_exploratory,Random Forest,conservative,0.63,94669,8514,8461,0.08937455766935322,6722,1739,1792,84416,0.7944687389197495,0.7895231383603477,672.2,40332.0,67688.0,1739.0,0.0,69427.0,-29095.0,-0.4190732712057269,-3.438718827561754,-307.3339741626087
test_exploratory,Random Forest,conservative,0.64,94669,8514,8277,0.08743094360350273,6668,1609,1846,84546,0.8056058958559865,0.7831806436457599,666.8000000000001,40008.00000000001,66216.0,1609.0,0.0,67825.0,-27816.999999999993,-0.41012900847769984,-3.360758729008094,-293.8343069008862
test_exploratory,Random Forest,conservative,0.65,94669,8514,8096,0.08551901889742154,6605,1491,1909,84664,0.8158349802371542,0.7757810664787409,660.5,39630.0,64768.0,1491.0,0.0,66259.0,-26629.0,-0.4018925730844112,-3.289155138339921,-281.2853204322429
test_exploratory,Random Forest,conservative,0.66,94669,8514,7965,0.08413525018749538,6558,1407,1956,84748,0.8233521657250471,0.7702607470049331,655.8000000000001,39348.00000000001,63720.0,1407.0,0.0,65127.0,-25778.999999999993,-0.3958266156893453,-3.2365348399246696,-272.30666849760735
test_exploratory,Random Forest,conservative,0.67,94669,8514,7847,0.08288880203656952,6515,1332,1999,84823,0.8302536001019498,0.765210241954428,651.5,39090.0,62776.0,1332.0,0.0,64108.0,-25018.0,-0.3902477069944469,-3.1882247992863513,-264.268134236128
